"comment","like_count","panjang"
"semoga ustadz kita, ini selalu menjadi lautan ilmu dari generasi ke melenial ya, kecerdasan beliau mk kamisangat respon lo","0","122"
"amiiin ..semoga allah kasih kesabaran dalm menghadapi cobaan dan allah kasih jaln dangdut solusi yg terbaik dari permasalahan yg saudara ali amiiin","0","147"
"aamiinn semoga segala urusannya dipermudah allah dan diberi jalan keluar untuk tiap kesulitan","0","93"
"semoga allah memberikan hati lapang dan pikiran yang tenang aminyarab al-amin","0","77"
"semoga allah memberikan jalan terbaik buat kita semua amin ya rabbal al-amin","0","76"
"yaallah belum pernah tertimpa kesulitan sebesar ini,,,semogo dgn kajian ini,hamba bisa menerima apapun itu dgn hati yg ikhlas,...dan percaya akan ada jalan kluar.nya,...amin","0","173"
"aamin ya robbal alamiin sama bun saya juga sedang ditimpa masalah berat sampe ga bisa mikir lg dan aku butuh suport dan doa dr saudara2 muslim dan semoga kita diberi kemudahan menjalaninya","0","188"
"jadikan sabar dan sholat sbg penolong mu kata alloh dlm fimannya yakinlah alloh pasti menolong kita dlm sgl masalahkita asal bersungguh sungguh pasti alloh mengabulkan permohonan kita amiin yaa robbal alamiin","0","208"
"semoga diangkat semua masalahnya dan diberikan jalan keluar oleh allah swt. aamiin.","0","83"
"semangat... allah selalu bersama hambanya. saya juga sedang berusaha meyakinan diri seyakin yakinnya","0","100"
"ya allah mudahkanlah segala urusan kita semua dan kabulkanlah semua do'a ""kita semua .....aamiin","0","96"
"aamiin......insya allah kirim pertolongan dengan caranya.......jika allah telah berkehendak, tak ada satu makhluk pn yang bisa menghalanginya, sebaliknya jika allah belum berkehendak tak ada satupun makhluk yang bisa memaksakannya....","0","234"
"saya merasa meliki permasalahan dan persoalan yg saya merasa untuk melangkah pun sulit., tak tau mau kemana , tp di sini saya yakin banyak juga saudara saya seiman yg memiliki permasalahan yg begitu berat pula , saya mendoakan semoga saya dan siapapun yg memiliki permasalahan yg begitu berat , kelak allah akan keluarkan kita dari masa sulit tersebut dan di berikan kebahagiaan yg bahkan dapat menghapus semua ingatan tentang kegelapan dan permasalahan yg kita alami. aamiin allahumma aamiin","0","492"
"aamiin ya allah, semoga dimudahkan dalam segala urusannya aamiin","0","64"
"aminn.. semoga apapun masalahnya segera dimudahkan jalan keluarnya oleh allah..","0","79"
"aamiin....semoga d berikan kesabaran dan cepat d kasih solusinya sma allah","0","74"
"insya allah msh di berikan ujian .artinya allah swt msh sayang dgn kt dan yakin allah swt tdk akn menguji umatnya di luar kemampuan nya","0","135"
"aamiin ya rabbal alamiin semoga allah swt mudahkan","0","50"
"ya allah hamba mhn tolonglah ya allah mudahkan lancarkan semua urusan jg rezeki hamba berilah hamba kesehatan yg prima tenaga dan yg kuat tlg hilangkan angkatlah semua rasa sakit disuruh bdn hamba jg yg plg sakit dan mengganggu aktivitas hamba yaitu rasa sakit pegel linu nyeri di pinggang hamba ya allah","0","304"
"dekatkan hatimu pd allah....yakin allah pasti menolong....allah memberi ujian/kesulitan sesuai kesanggupan hambanya....karena allah akan menaikkan derajatnya....aamiin....semoga saudara kuat....yakin....pasti bisa/berlalu...","0","224"
"yakin dan positif sama allah,,,pasti bres semua masalah dan di lancarkan semua urusan"" nya sama allah swt","0","105"
"sy jg lg terlilit pinjol.. tutup lobang gali lobang... skr nggak bs bayar lg.... mau gila rasanya... apa yg harus sy lakukan ustadz?","0","132"
"itu yg bt aku selalu trs blajar kuat mnjalai ujianku kesulitan yg tramat berat, aku mnyakini allah psti mnolongku,","0","114"
"sama .. baru kena ujian dan cobaan hidup ... full depresi dan putus asa tapi beruntungnya saya memiliki umi yang selalu menasihati dan memperkuat saya mungkin allah swt menginginkan saya untuk fokus ibadah serta sedang memperkurang dosa yg saya miliki selama dizona stabil tak ada ujian dan cobaan","0","297"
"aamiin... percanyalah allah sdg mengangkat derajat mu ..sabar dan soltatlah selain kita berusaha semaksimal mungkiin unuk memecahkan persoalan tsb..slmt brrjuang..sdrssm muslim...","0","179"
"@allah-up5tm ya klo mau doain orang gak usah pamrih bos...percuma juga lo doain tapi bangkilan ...emg lo tau dia doain lo apa gak","0","129"
"semangat semuanya diposisi yg sama semoga bahu iman kita semakin kuat","0","69"
"bismillah,insya allah pasti selalu dikasih jalan yg baik dan kekuatan untuk menghadapi segala ujian hidup.allah swt selalu bersama kita.","0","136"
"semoga masalahnya segera cepat terselesaikan aamiin allahumma aamiin","0","68"
"semoga allah selalu memberi pertolongannya untukmu mba keluar dri masalahnya dn diganti dengan sesuatu yg jauh lebih indah","0","122"
